DepCity,ArrCity,DayOfWeek
CAN,AMS,5
CAN,PAR,4
CAN,LAX,6
CAN,LAX,4
CAN,YTO,5
CAN,SYD,6
CAN,MEL,2
CAN,AKL,7
CAN,AKL,4
CAN,PNH,1
SZX,JKT,2
CAN,SGN,7
CAN,VTE,5
CAN,KUL,5
CAN,RGN,6
CAN,BKK,1
CAN,MNL,4
CAN,SIN,2
WUH,ISB,1
CAN,DAC,3
SHE,SEL,7
CAN,SEL,4
SHE,TYO,4
CAN,TYO,3
CSX,NBO,3
SZX,NBO,5
AMS,CAN,5
PAR,CAN,4
LAX,CAN,7
LAX,CAN,5
YTO,CAN,5
SYD,CAN,7
MEL,CAN,3
AKL,CAN,7
AKL,CAN,4
PNH,CAN,1
JKT,SZX,2
SGN,CAN,7
VTE,CAN,5
KUL,CAN,5
RGN,CAN,6
BKK,CAN,1
MNL,CAN,4
SIN,CAN,2
ISB,WUH,1
DAC,CAN,4
SEL,SHE,7
SEL,CAN,4
TYO,SHE,4
TYO,CAN,3
NBO,CSX,3
NBO,SZX,5
